,-0.039063,-0.0078125,-0.03125
0,-0.015625,-0.039063,-0.039063
1,-0.015625,-0.03125,-0.023438
2,0.0078125,0.054688,0.015625
3,-0.015625,-0.046875,-0.023438
4,0.0,-0.015625,-0.023438
5,0.0,0.023438,0.0
6,-0.015625,-0.023438,-0.015625
7,0.0,0.046875,0.054688
8,-0.015625,-0.015625,-0.023438
9,-0.03125,-0.0625,-0.023438
10,-0.015625,-0.015625,-0.0078125
11,-0.023438,-0.03125,0.0078125
12,0.0,0.0,0.0
13,-0.015625,-0.0078125,-0.023438
14,-0.0078125,-0.0078125,-0.054688
15,0.0,-0.046875,-0.03125
16,0.0,-0.0078125,0.0
17,-0.015625,-0.03125,-0.023438
18,-0.0078125,0.0,-0.0078125
19,0.0078125,0.015625,-0.0078125
20,-0.015625,-0.039063,-0.039063
21,0.015625,0.023438,0.023438
22,-0.0078125,-0.0078125,0.0
23,0.0,0.046875,0.0
24,-0.046875,-0.0625,-0.03125
25,0.0,0.0,-0.0078125
26,0.0,0.0,0.0
27,-0.015625,-0.023438,-0.03125
28,-0.023438,-0.015625,-0.015625
29,-0.0078125,-0.015625,-0.023438
30,-0.015625,-0.015625,-0.03125
31,-0.015625,-0.0078125,-0.023438
32,-0.015625,-0.015625,-0.0078125
33,0.0,-0.023438,-0.0078125
34,0.0,-0.03125,0.023438
35,-0.0078125,-0.03125,-0.015625
36,-0.0078125,0.0078125,0.0
37,-0.0078125,-0.0078125,-0.03125
38,-0.03125,-0.039063,-0.054688
39,0.015625,0.0078125,0.0
40,-0.0078125,0.0078125,-0.015625
41,-0.0078125,0.0078125,0.0
42,-0.015625,-0.015625,0.0
43,-0.0078125,0.015625,0.023438
44,-0.0078125,-0.0078125,-0.03125
45,-0.0078125,0.0078125,-0.03125
46,-0.023438,-0.0078125,-0.0078125
47,-0.023438,-0.0078125,-0.03125
48,-0.0078125,0.015625,0.046875
49,-0.0078125,-0.0078125,-0.015625
50,-0.0078125,-0.0078125,0.0
51,-0.023438,-0.046875,-0.023438
52,0.0,-0.015625,-0.0078125
53,-0.015625,-0.023438,-0.03125
54,0.0078125,-0.015625,-0.03125
55,0.0,-0.03125,-0.039063
56,-0.0078125,-0.015625,0.0
57,0.0,-0.0078125,0.0
58,-0.0078125,-0.015625,0.0078125
59,-0.0078125,0.023438,0.015625
60,-0.023438,-0.0078125,-0.023438
61,-0.0078125,-0.046875,-0.015625
62,-0.0078125,-0.0078125,-0.039063
63,0.0,-0.015625,0.023438
64,0.0078125,0.023438,-0.015625
65,-0.023438,-0.023438,-0.023438
66,-0.0078125,-0.023438,-0.0078125
67,0.0078125,0.039063,0.0078125
68,-0.03125,-0.10156,-0.054688
69,0.0,0.0078125,0.0
70,-0.015625,-0.03125,-0.023438
71,-0.0078125,0.0,-0.015625
72,0.015625,0.03125,0.0078125
73,-0.0078125,-0.0078125,-0.023438
74,-0.0078125,-0.0078125,-0.023438
75,0.0,-0.015625,-0.023438
76,-0.023438,0.0,-0.015625
77,0.0,-0.03125,-0.015625
78,-0.015625,-0.0078125,0.023438
79,-0.015625,-0.03125,0.0
80,-0.0078125,0.0078125,-0.0078125
81,-0.015625,0.015625,0.0
82,-0.015625,0.0078125,-0.0078125
83,-0.023438,-0.023438,-0.03125
84,-0.0078125,-0.046875,-0.023438
85,-0.023438,-0.015625,0.0
86,-0.015625,-0.015625,-0.015625
87,-0.0078125,-0.0078125,0.015625
88,-0.023438,-0.0078125,-0.0078125
89,-0.0078125,0.015625,0.0078125
90,-0.0078125,0.0,0.015625
91,0.0078125,0.023438,-0.0078125
92,-0.0078125,-0.03125,-0.03125
93,-0.015625,-0.023438,-0.015625
94,0.0,0.0,0.0
95,-0.0078125,-0.015625,-0.0078125
96,-0.015625,-0.0078125,0.0078125
97,0.0,-0.023438,-0.03125
98,0.0078125,0.015625,-0.023438
99,-0.023438,-0.03125,-0.0078125
100,-0.015625,0.015625,0.0
101,-0.023438,-0.0078125,0.0078125
102,-0.0078125,0.0078125,-0.0078125
103,-0.03125,-0.046875,0.0
104,0.0,-0.0078125,-0.0078125
105,0.023438,0.015625,-0.015625
106,-0.0078125,-0.0078125,0.0
107,-0.0078125,0.0,0.0078125
108,-0.0078125,0.0,-0.023438
109,0.0,-0.015625,-0.023438
110,-0.03125,-0.03125,-0.0078125
111,-0.023438,-0.015625,-0.015625
112,0.0,0.023438,0.0
113,-0.0078125,0.0,-0.023438
114,-0.0078125,-0.039063,-0.046875
115,-0.023438,-0.015625,-0.03125
116,-0.015625,-0.03125,0.0
117,-0.015625,-0.0078125,-0.039063
118,0.0078125,0.0,-0.0078125
119,-0.023438,-0.023438,-0.023438
120,0.0,-0.015625,0.015625
121,-0.039063,0.0078125,-0.046875
122,0.0,-0.015625,-0.0078125
123,-0.0078125,-0.0078125,-0.0078125
124,-0.015625,-0.015625,-0.0078125
125,-0.0078125,-0.0078125,0.0078125
126,-0.03125,-0.03125,0.0
127,-0.023438,-0.023438,-0.03125
128,0.015625,0.0078125,0.0
129,0.0,-0.023438,0.0078125
130,-0.015625,0.0,-0.023438
131,0.0,-0.023438,0.0078125
132,-0.015625,-0.03125,-0.054688
133,0.0,0.015625,-0.0078125
134,-0.0078125,-0.0078125,-0.0078125
135,0.0078125,0.015625,0.0078125
136,-0.0078125,-0.0078125,-0.0078125
137,-0.015625,-0.015625,-0.0078125
138,0.0,0.0078125,0.03125
139,-0.023438,-0.0078125,-0.015625
140,-0.015625,0.03125,-0.023438
141,-0.054688,-0.078125,-0.039063
142,-0.015625,-0.03125,-0.046875
143,-0.015625,-0.0078125,-0.023438
144,0.0078125,0.0078125,0.0
145,0.0,0.015625,0.015625
146,-0.015625,-0.0078125,0.0078125
147,-0.0078125,-0.023438,-0.0078125
148,-0.015625,-0.015625,-0.015625
149,-0.0078125,-0.023438,-0.03125
150,-0.015625,-0.015625,0.0
151,0.0,-0.015625,-0.015625
152,-0.015625,-0.03125,0.0
153,-0.0078125,-0.0078125,-0.015625
154,-0.0078125,-0.015625,-0.023438
155,0.0,0.023438,-0.0078125
156,-0.023438,-0.085938,-0.023438
157,0.0078125,0.03125,0.0
158,0.0,0.015625,0.0078125
159,-0.023438,-0.054688,-0.023438
160,0.0,0.023438,0.0078125
161,-0.023438,-0.015625,0.015625
162,0.0,0.03125,0.023438
163,-0.015625,0.015625,-0.023438
164,0.0,0.0,0.0
165,-0.015625,0.015625,-0.015625
166,-0.0078125,-0.015625,-0.023438
167,-0.0078125,-0.0078125,-0.0078125
168,-0.015625,-0.0078125,-0.03125
169,0.0,-0.03125,-0.015625
170,-0.0078125,-0.023438,-0.023438
171,-0.0078125,-0.039063,-0.046875
172,-0.0078125,0.015625,-0.023438
173,-0.015625,-0.054688,-0.023438
174,-0.0078125,-0.023438,-0.015625
175,0.0,0.015625,0.023438
176,-0.023438,-0.039063,-0.0078125
177,-0.023438,-0.015625,-0.0078125
178,0.0,0.0078125,-0.015625
179,-0.023438,0.0078125,0.023438
180,-0.0078125,0.0078125,-0.03125
181,-0.015625,-0.0078125,-0.0078125
182,-0.023438,-0.0078125,-0.023438
183,-0.015625,-0.0078125,0.0
184,-0.015625,0.0078125,0.015625
185,0.0,0.015625,0.0
186,-0.0078125,-0.023438,-0.046875
187,0.0,-0.0078125,-0.0078125
188,-0.0078125,-0.015625,0.0
189,0.0,0.0078125,-0.03125
190,-0.0078125,-0.015625,0.0078125
191,0.0,-0.015625,-0.0078125
192,-0.0078125,-0.046875,-0.023438
193,-0.0078125,-0.015625,0.0
194,-0.0078125,-0.023438,-0.023438
195,-0.0078125,0.0,-0.023438
196,-0.03125,-0.070313,-0.0625
197,-0.0078125,0.0078125,-0.015625
198,-0.023438,-0.039063,-0.023438
199,-0.015625,0.0,-0.015625
200,0.0,0.0078125,0.039063
201,0.0078125,0.0,-0.0078125
202,0.0078125,0.046875,0.0078125
203,-0.039063,-0.10938,-0.046875
204,0.0,0.015625,0.03125
205,-0.0078125,-0.03125,0.0
206,-0.023438,-0.0078125,-0.0078125
207,-0.023438,0.0078125,0.0
208,-0.0078125,0.0078125,-0.015625
